"EPAY_LABEL_44","Current payment system transaction status"
"EPAY_LABEL_45","Transaction status"
"EPAY_LABEL_46","Deleted date"
"EPAY_LABEL_47","Acquirer"
"EPAY_LABEL_48","Splitpayment"
"EPAY_LABEL_49","3D Secure"
"EPAY_LABEL_50","Yes"
"EPAY_LABEL_51","No"
"EPAY_LABEL_52","Description"
"EPAY_LABEL_53","Cardholder"
"EPAY_LABEL_54","Auth amount"
"EPAY_LABEL_55","Captured amount"
"EPAY_LABEL_56","Credited amount"
"EPAY_LABEL_57","An error (%s) occured in the communication to the payment system"
"EPAY_LABEL_58","The merchantnumber you are using does not exists or is disabled. Please log into your payment system account to verify your merchantnumber. This can be done from the menu: SETTINGS -> PAYMENT SYSTEM."
"EPAY_LABEL_59","The IP address your system calls the payment system from is UNKNOWN. Please log into your payment system account to verify / enter the IP address your system calls the payment system from. This can be done from the menu: API / WEBSERVICES -> ACCESS."
"EPAY_LABEL_60","Your payment system merchant account has not access to API / Remote Interface. This is only for BUSINESS merchant accounts. Please upgrade your payment system merchant account."
"EPAY_LABEL_61","An error occured calculating the transaction fee.\n\nThe merchantnumber does not exists.\n\nThe transaction fee cannot be calculated. Please contact the shop!"
"EPAY_LABEL_62","An error occured calculating the transaction fee.\n\nAccess to function rejected (API / Remote Interface).\n\nThe transaction fee cannot be calculated. Please contact the shop!"
"EPAY_LABEL_63","An error occured calculating the transaction fee.\n\nThe data entered for the fee calculation were invalid.\n\nThe transaction fee cannot be calculated. Please contact the shop!"
"EPAY_LABEL_64","An error occured calculating the transaction fee.\n\nThe cardnumber is invalid.\n\nThe transaction fee cannot be calculated. Please contact the shop!"
"EPAY_LABEL_65","An error occured calculating the transaction fee.\n\nThere was no fee found matching this specific card type.\n\nThe transaction fee cannot be calculated. Please contact the shop!"
"EPAY_LABEL_66","An error occured calculating the transaction fee.\n\nThe used currency code %s is not valid with the cardnumber entered.\n\nThe transaction fee cannot be calculated. Please contact the shop!"
"EPAY_LABEL_67","An error occured calculating the transaction fee.\n\nThe card type is blocked / disabled. Please contact the shop!"
"EPAY_LABEL_68","An error occured calculating the transaction fee.\n\nCombination of card number, acquirer and currency code was not found.\n\nThe transaction fee cannot be calculated. Please contact the shop!"
"EPAY_LABEL_69","An error occured calculating the transaction fee.\n\nErrorcode "
"EPAY_LABEL_70",".\n\nThe transaction fee cannot be calculated. Please contact the shop!"
"EPAY_LABEL_71","Name on the credit card"
"EPAY_LABEL_72","E.g. comment"
"EPAY_LABEL_73","Notice! The payment is not captured! The payment must be captured using the paymentsystem!"
"EPAY_LABEL_74","Notice! The payment is not credited! The payment must be credited using the paymentsystem!"
"EPAY_LABEL_75","Notice! The payment is not deleted! The payment must be deleted using the paymentsystem!"
"EPAY_LABEL_76","History"
"EPAY_LABEL_77","Credit card"
"EPAY_LABEL_78","EWIRE"
"EPAY_LABEL_79","eDankort"
"EPAY_LABEL_80","Nordea"
"EPAY_LABEL_81","Danske Bank"
"EPAY_LABEL_82","* Click for other payment method"
"EPAY_LABEL_83","Click the button"
"EPAY_LABEL_84","to continue your payment with EWIRE."
"EPAY_LABEL_85","Notice"
"EPAY_LABEL_86","You will be forwarded to EWIRE, where you must complete your payment."
"EPAY_LABEL_87","to continue payment by eDankort."
"EPAY_LABEL_88","You will be forwarded to your home banking where you must complete your payment."
"EPAY_LABEL_89","to continue payment by Nordea."
"EPAY_LABEL_90","to continue payment by Danske Bank."
"EPAY_LABEL_91","Payment method"
"EPAY_LABEL_92","Expire month must be entered!"
"EPAY_LABEL_93","Expire year must be entered!"
"EPAY_LABEL_94","CVC must be entered!"
"EPAY_LABEL_95","Correct cardnumber entered!"
"EPAY_LABEL_96","Wrong cardnumber entered!"
"EPAY_LABEL_97","Error in card data entered!"
"EPAY_LABEL_98","Card type"
"EPAY_LABEL_99","When entering your card number, there was unfortunately a technical error. The error is resolved by removing the entered card number and then enter the card number again."
"EPAY_LABEL_100","Cancel payment"
"EPAY_LABEL_101","Card number:"
"EPAY_LABEL_102","Please wait while communicating with the payment server"
"EPAY_LABEL_103","Please wait while redirecting to payment"
"EPAY_LABEL_104","Go to payment"
